Faison,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA,"AE 1000NX - 1, AC Power","AE 1000NX - 2, AC Power",Production meter active power
,W/m²,kW,kW,kW
2024-03-06 17:00:00,60.44069,45.36364,40.57713,74.63055
2024-03-06 18:00:00,0.6277918,0,0,-7.8503
2024-03-06 19:00:00,0,0,0,-5.017457
2024-03-06 20:00:00,0,0,0,-5.079446
2024-03-06 21:00:00,0,0,0,-5.075941
2024-03-06 22:00:00,0,0,0,-5.101218
2024-03-06 23:00:00,0,0,0,-5.08639
2024-03-07 00:00:00,0,0,0,-5.109638
2024-03-07 01:00:00,0,0,0,-5.055733
2024-03-07 02:00:00,0,0,0,-5.06736
2024-03-07 03:00:00,0,0,0,-5.061909
2024-03-07 04:00:00,0,0,0,-5.04533
2024-03-07 05:00:00,0,0,0,-4.973012
2024-03-07 06:00:00,0.08887038,0.5798808,0.4804362,-7.159072
2024-03-07 07:00:00,26.53955,28.07974,25.77645,44.14528
2024-03-07 08:00:00,193.4032,200.3628,178.9903,365.2597
2024-03-07 09:00:00,408.8182,418.4313,384.2895,790.1147
2024-03-07 10:00:00,682.7589,614.4973,539.5114,1137.67
2024-03-07 11:00:00,757.2253,692.326,631.6631,1297.584
2024-03-07 12:00:00,665.0786,556.4944,534.4255,1096.817
2024-03-07 13:00:00,415.8923,408.885,365.1739,743.1851
2024-03-07 14:00:00,605.427,570.4477,510.5238,1072.505
2024-03-07 15:00:00,468.032,449.7639,397.6646,841.424
2024-03-07 16:00:00,385.7313,361.9559,328.6833,685.9376
2024-03-07 17:00:00,138.3506,104.0847,93.07386,188.085
2024-03-07 18:00:00,5.96708,1.596823,1.498569,-5.186001
2024-03-07 19:00:00,0,0,0,-5.018898
2024-03-07 20:00:00,0,0,0,-5.063182
2024-03-07 21:00:00,3.183158,0,0,-5.10333
2024-03-07 22:00:00,,0,0,-5.117059
2024-03-07 23:00:00,,0,0,-5.102615
2024-03-08 00:00:00,,0,0,-5.12705
2024-03-08 01:00:00,,0,0,-5.109207
2024-03-08 02:00:00,,0,0,-5.094995
2024-03-08 03:00:00,,0,0,-5.084484
2024-03-08 04:00:00,,0,0,-5.045348
2024-03-08 05:00:00,,0,0,-4.996649
2024-03-08 06:00:00,,3.407041,2.500078,-2.699388
2024-03-08 07:00:00,,122.4847,110.0257,225.1203
2024-03-08 08:00:00,,269.2099,260.0358,517.7311
2024-03-08 09:00:00,682.5114,593.5471,560.6047,1170.244
2024-03-08 10:00:00,821.9052,718.7754,664.3599,1365.438
2024-03-08 11:00:00,940.7504,830.3537,794.6892,1597.966
2024-03-08 12:00:00,973.5023,840.0872,786.0621,1622.482
2024-03-08 13:00:00,808.1356,737.1975,687.1552,1425.246
2024-03-08 14:00:00,557.9561,502.9731,471.3512,971.0312
2024-03-08 15:00:00,213.4447,200.5993,183.8167,376.0323
2024-03-08 16:00:00,120.745,110.5476,100.9232,202.525
2024-03-08 17:00:00,34.64859,26.27696,23.98918,40.14412
2024-03-08 18:00:00,2.026059,0.5145615,0.4683115,-7.254914
2024-03-08 19:00:00,0,0,0,-4.980123
2024-03-08 20:00:00,0.5413055,0,0,-4.99988
2024-03-08 21:00:00,0.8543333,0,0,-5.020056
2024-03-08 22:00:00,0.8257778,0,0,-5.070233
2024-03-08 23:00:00,0.2264444,0,0,-5.111283
2024-03-09 00:00:00,0,0,0,-5.133191
2024-03-09 01:00:00,0,0,0,-5.056482
2024-03-09 02:00:00,0,0,0,-4.995122
2024-03-09 03:00:00,0,0,0,-5.052977
2024-03-09 04:00:00,0,0,0,-5.055254
